Track name,Artist name,Album,Playlist name,Type,ISRC,Amazon - id
"PUSH 2 START","Tyla","TYLA +","Library Songs","Favorite","USSM12407085","B0DJJCN6KJ"
"No One Else","Chris Brown","11:11 [Clean]","Library Songs","Favorite","USRC12302905","B0CMYX4F7C"
"Gadhithalupula","Karthik","Mirapakay","Library Songs","Favorite","INA091012691","B07568444M"
"wRoNg [Explicit]","ZAYN","Mind Of Mine (Deluxe Edition) [Explicit]","Library Songs","Favorite","USRC11600392","B01C5752JO"
"One Right Now [Explicit]","Post Malone","One Right Now [Explicit]","Library Songs","Favorite","USUM72120404","B09KYBD5V5"
"After Hours","The Weeknd","After Hours [Explicit]","Library Songs","Favorite","USUG12000586","B084VW9HYJ"
"Die For You (Remix)","The Weeknd","Starboy (Deluxe) [Clean]","Library Songs","Favorite","USUG12301287","B0BYCB5VKN"
"SNAP","Rosa Linn","SNAP PACK","Library Songs","Favorite","USSM12207342","B0DC46RJN3"
"Bye Bye Bye","*NSYNC","No Strings Attached","Library Songs","Favorite","USJI10000001","B002TTPR30"
"Castle on the Hill","Ed Sheeran","÷ (Deluxe)","Library Songs","Favorite","GBAHS1600462","B01NBTSUSX"
"Good For You x One Of The Girls","dreamsoda","Good For You x One Of The Girls","Library Songs","Favorite","CA5KR2497652","B0GKG147F4"
"Good Days [Explicit]","SZA","SOS [Explicit]","Library Songs","Favorite","USRC12004189","B0BNY1RMH7"
"TIME","Citizen ","TIME","Library Songs","Favorite","QZK6F2691452","B0GP95JBMB"
"greedy [Explicit]","Tate McRae","THINK LATER [Explicit]","Library Songs","Favorite","USRC12301932","B0CN3SF8R1"
"Blue [Explicit]","Rey Mars Camahalan","Blue [Explicit]","Library Songs","Favorite","QZDA72548671","B0DVKSVDFR"
"12 to 12","sombr","I Barely Know Her","Library Songs","Favorite","USWB12502453","B0FLS3RJLL"
"A Little More [Explicit]","Ed Sheeran","Play (Deluxe) [Explicit]","Library Songs","Favorite","GBAHS2500247","B0FZWC9B5H"
"Open Arms","SZA","SOS [Explicit]","Library Songs","Favorite","USRC12204602","B0BNY1ZXLM"
"Counting Stars","OneRepublic","Native (Standard)","Library Songs","Favorite","USUM71301306","B073PBW2PH"
"Strangers","Kenya Grace","The After Taste [Explicit]","Library Songs","Favorite","USWB12305048","B0CY3G1FF7"
"Earned It (Fifty Shades Of Grey) (From The ""Fifty Shades Of Grey"" Soundtrack)","The Weeknd","Fifty Shades Of Grey (Original Motion Picture Soundtrack)","Library Songs","Favorite","USUG11401951","B073SF31NW"
"Aperture","Harry Styles","Kiss All The Time. Disco, Occasionally.","Library Songs","Favorite","USSM12600096","B0GJ6XNGY3"
"this is what winter feels like","JVKE","this is what winter feels like","Library Songs","Favorite","QM4TW2408705","B0CRMJDPBG"
"Callin' U (Tamally Maak)","Elyanna","WOLEDTO","Library Songs","Favorite","USA2P2416654","B0CYKDRNC1"
"thank u, next [Explicit]","Ariana Grande","thank u, next [Explicit]","Library Songs","Favorite","USUM71819361","B07N31C1CB"
"FEVER DREAM","Alex Warren","FEVER DREAM","Library Songs","Favorite","USAT22600670","B0GQ2Z4ZR5"
"Diet Pepsi","Addison Rae","Addison [Explicit]","Library Songs","Favorite","USSM12405456","B0F63S8B7X"
"DtMF [Explicit]","Bad Bunny","DeBÍ TiRAR MáS FOToS [Explicit]","Library Songs","Favorite","QMFMF2447070","B0DR9C8KVW"
"MONACO [Explicit]","Bad Bunny","nadie sabe lo que va a pasar mañana [Explicit]","Library Songs","Favorite","QMFME2364182","B0CKY374W9"
"Tití Me Preguntó [Explicit]","Bad Bunny","Un Verano Sin Ti [Explicit]","Library Songs","Favorite","QM6MZ2214878","B09ZL891KL"
